ID,Name,Sex,Age,Height,Weight 
2715,mile Ali Khan,M,17,180,69
2716,Mudassar Ali Khan,M,24,178,75
2717,Ahmed Ali Ahmed Saleh,M,28,179,78
2718,Haider Ali Shah,M,25,182,75
2719,Bibiro Ali Taher,F,28,160,44
2720,Roda Ali Wais,F,16,158,52
2721,Antonio Pietro Tony Ali-Ally,M,22,180,90
2722,Rahim Aliabadi,M,29,158,48
2723,Gaston Jules Louis Antoine Alibert,M,22,,
2724,Pierre Alibert,M,19,,
2725,Giuseppe Aliberti,M,23,,
2726,Hamza Ali,M,29,186,130
2727,Yuruby Rosaura Alicart Ramrez,F,22,154,60
2728,Pablo Alicea Rodrguez,M,33,178,91
2729,Cora Alicto,F,28,168,59
2730,Mohammad Alidjani-Momer,M,25,175,73
2731,Nazim Alidjanov,M,25,168,59
2733,Tjoeij Lin Alienilin,F,29,165,
2734,Adnan Aliev,M,24,182,85
2735,Sergey Gennadyevich Alifirenko,M,41,168,72
2736,Nazirdin Alikbekov,M,30,168,62
2737,Vladimir Aleksandrovich Alikin,M,22,,
2738,Jouko Antero Alila,M,29,176,76
2739,Mirko Alilovi,M,22,200,110
2740,Vladimir Alimdyanov,M,23,187,88
2741,Amadou Alimi,M,,,
2742,Sikuru Alimi,M,22,175,67
2743,Zhanibek Alimkhanuly,M,23,182,75
2744,Thierry Gille Alimondo,M,25,187,80
2745,Nataliya Adamovna Alimova (-Trandenkova),F,29,192,78
2746,Elmir Eldarovich Alimzhanov,M,25,185,72
2747,Sergey Alimzhanov,M,29,,
2748,Jan Alin,M,21,188,79
2749,Aline Villares Reis,F,27,162,60
2750,Aline Pellegrino,F,22,180,71
2751,Aline Silva dos Santos,F,22,195,96
2752,Jamal Al-Alioui,M,22,178,74
2753,Manfredo P. Alipala,M,25,173,67
2754,Aleksandr Vasilyevich Alipov,M,20,171,90
2755,Aleksey Aleksandrovich Alipov,M,25,175,80
2756,Georgios Aliprantis,M,,,
2757,Nikolaos Aliprantis,M,,,
2758,Alison Conte Cerutti,M,26,203,106
2760,Deji Aliu,M,20,187,75
2761,Likou Aliu,M,26,170,75
2762,Margarita Sergeyevna Aliychuk,F,17,174,48
2763,Ali Zurkanayevich Aliyev,M,22,154,52
2764,Magomedbek Daitbekovich Aliyev,M,25,,
2765,Pirmammad Sadiyarovich Aliyev,M,18,170,63
2766,Shomil Aliyev,M,24,173,84
2767,Olesya Murtazaliyevna Aliyeva,F,20,169,60
2768,Firouz Alizadeh Fard,M,25,167,57
2769,Kimia Alizadeh Zenoorin,F,18,185,57
2770,Jafar Alizadeh Koldkeshi,M,19,172,68
2771,Martti Aljand,M,20,184,82
2772,Triin Aljand,F,19,179,68
2773,Michael Charles Mike Aljoe,M,23,185,100
2774,Yksel Alkan,M,21,,
2775,Antonio Alkana,M,26,183,76
2777,Hermann Reinhard Alker,M,43,,
2778,Imre Alker,M,22,155,52
2779,Jasmine Alkhaldi,F,19,180,60
2780,Alkindi,M,26,190,60
2781,Robert Jeffrey Jeff Alkire II,M,22,185,91
2782,David Alkon Gruspan,M,35,184,87
2783,Edward Alknin,M,25,173,71
2784,Fatim Alkrmova,F,14,175,60
2785,Alphonse Allaert,M,44,,
2786,Yuliya Yakunovna Allagulova,F,19,176,54
2787,Ditta Allah,M,24,171,52
2788,Ikhlef Ahmed Hadj Allah,M,23,,
2789,Diane Allahgreen (-Hawkins),F,25,164,63
2790,Elad Ahad Allahverdiyev,M,23,176,76
2791,Mhyddin Allahverdiyev,M,26,162,48
2792,mile Allais,M,23,168,68
2793,Kathleen Allais,F,26,169,53
2794,Mohamed Allalou,M,22,174,63
2795,Ahmed Issam Allam,M,20,,
2796,Dalia Allam,F,23,165,52
2797,Mohamed Abdel Khalek Allam,M,,,
2799,Olivier Allamand,M,22,175,72
2800,Alister Millar Allan,M,24,162,68
2801,Claire Allan,F,31,170,65
2802,Donald John Allan,M,22,180,73
2804,Maurice Allan,M,30,181,86
2805,Mitchell Allan,M,18,180,72
2807,Wanda Marie Allan-Sadegur,F,21,165,91
2810,Pierre Allard,M,25,180,85
2811,Roland Allard,M,24,,
2812,David Dave Allardice,M,22,170,75
2813,Lesley Allardice,F,15,162,50
2814,Lvia Allrov,F,26,169,53
2815,Lucia Allrov,F,26,169,57
2816,Gilbert Raoul Allart,M,21,,
2817,Robert Philippe Marie Allart,M,34,,95.5
2818,Adamou Allassane,M,23,180,65
2819,Karim Mohamed Allawi,M,24,,
2820,Khalil Mohamed Allawi,M,25,,
2821,Peter Charles Allday,M,25,,
2822,Pierre Alleene,M,27,,75
2823,Allgr,M,,,
2824,Agnese Allegrini,F,26,162,57
2825,Yves Allegro,M,25,184,82
2826,Horacio Allegue Lamas,M,20,,
2827,Heba Allejji,F,19,,
2828,Jean-Pierre Allemand,M,26,186,83
2829,Richard Louis Pierre Allemane,M,18,,
2830,Mary Aileen Allen (Conquest-),F,31,157,
2831,Anita Allen,F,26,160,58
2833,John Chad Allen,M,21,185,86
2834,Charles Tyrone Allen,M,23,175,73
2835,Christopher Chris Allen (-Ellis),M,24,177,68
2836,Claude Arthur Allen,M,19,,
2837,David Allen,M,29,180,70
2838,Devon Allen,M,21,185,84
2839,Dominique Jayne Allen,F,22,188,85
2840,Frederick Harold Fred Allen,M,21,177,65
2841,Francis E. Fritz Allen,M,30,175,73
2842,Henry Woodward Harry Allen,M,27,,
2843,Hayley Jane Allen,F,17,164,48
2844,Henry Tureman Allen Jr.,M,30,,
2846,Joseph Michael Joe Allen,M,22,170,65
2847,John William Allen,M,34,175,70
2848,James Kanati Allen,M,21,173,64
2849,Katherine Jessie Jean Kate Allen (-Diechtler),F,34,163,53
2850,Kate Ruth Katie Allen,F,26,170,65
2851,Kirk Blaine Allen,M,20,186,75
2852,Lawrence Allen,M,31,,
2853,Lee Dale Allen,M,21,167,63
2854,Leonard John Len Allen,M,33,175,78
2855,Liliana Allen Doll (-de Martnez),F,22,170,62
2856,Lisa-Marie Allen,F,19,,
2857,Malcolm Allen,M,23,185,74
2858,Ian Graeme Keith Mick Allen,M,18,190,84
2859,Michael Gary Mike Allen,M,29,178,68
2860,Monique Marie Allen,F,16,157,46
2861,Nathon Allen,M,20,178,
2862,Patrina Allen,F,25,176,70
2863,Walter Ray Allen,M,25,192,93
2864,Richard James Allen,M,25,172,
2865,Rock Allen,M,22,170,63
2866,Roger Allen,M,19,189,
2867,Roseanne Allen,F,17,170,77
2868,Russell D. Allen,M,19,,
2869,Scott Ethan Scotty Allen,M,14,163,69
2870,Sophie Nicole Allen,F,20,170,65
2871,Terence de la Mesa Terry Allen,M,32,,
2872,Samuel Thomas Allen,M,42,172,98
2873,Wendy Irene Allen,F,23,163,55
2874,Wyatt Allen,M,25,193,98
2875,Sandra Louise Sandy Allen-Lewis,F,21,170,59
2876,Theodor Theo Allenbach,M,23,,
2877,Katherine Fiona Kate Allenby,F,26,177,72
2878,Jaime Allende Maz,M,24,,
2881,Daniel Allerstorfer,M,23,183,130
2882,Ejler Arild Emil Allert,M,30,,
2883,Julio Antolin Alles,M,23,,
2884,Patricia Kim Alletson,F,17,,
2885,Laura Colleen Gloria Alleway,F,26,178,72
2886,Francis William Bill Alley,M,24,190,101
2887,Steven James Steve Alley,M,22,182,83
2888,Damian Arthur Christopher Alleyne,M,17,180,84
2889,Jeffrey Alleyne,M,22,,71
2890,Livingstone Alleyne,M,21,183,72
2891,Natasha Lynette Barbara Alleyne (-Gibson),F,27,170,54
2892,Ade Franci Alleyne-Forte,M,23,180,73
2893,Lieselotte Lilo Anni Allgayer (Deutzer- -Knig),F,36,,
2894,Derek Swithin Allhusen,M,54,180,71
2895,Mosi Alli,F,19,159,51
2896,Yusuf Alli,M,19,185,80
2897,Thomas Allier,M,33,185,86
2898,Vittorio Allievi,M,21,165,65
2899,Yves llig,M,19,,
2900,Martin Allikvee,M,21,182,77
2901,Dawn Michele Allinger (-Lewis),F,27,172,68
2902,Karl Ruben Allinger,M,32,,
2903,Lucien Charles Edouard Alliot,M,46,,
2904,Anna Alliquander,F,23,173,59
2905,John Cotton Allis,M,22,174,67
2906,Louis Allis,M,37,,
2907,Peter Werner Klaus Allisat,M,26,180,80
2908,George Allison,M,23,175,71
2909,Ian Alistair Al Allison,M,27,,
2910,May Allison,F,31,162,54
2911,Philip Whalley Allison,M,34,170,
2912,Olivia Elizabeth N. Allison-Federici,F,18,169,54
2913,Andrique Allisop,M,19,171,60
2914,Steve Allman,M,23,182,83
2915,Edward Percival Percy Allman-Smith,M,21,,
2916,Yari Allnutt,M,22,180,73
2917,Antonio Allocchio,M,31,,
2918,Stefano Luigi Allocchio,M,22,185,70
2919,Audrey Alloh,F,21,170,55
2920,Diego Allona Marenzi,M,24,,
2921,Fernando Alloni,M,22,,
2922,Eugne Allonsius,M,22,175,64
2923,Stanley Fabian Allotey,M,21,171,67
2924,Amandine Allou Affou,F,20,160,52
2925,Hussan Ali Allouba,M,,,
2926,Moustafa Allozy,M,29,,75
2927,Jeanette M. Jen Allred (-Powless),F,30,177,63
2928,Edward James Ted Allsopp,M,30,179,80
2929,Lynne Marie Allsup (-Olson),F,15,163,59
2930,Carmela Allucci,F,34,167,60
2931,Rose Rosie Allwood (-Morrison),F,19,163,54
2932,Bradley Kevin Ally,M,17,182,73
2933,Haji Ally,M,20,165,54
2934,Mwalimu Ally,M,27,177,68
2935,Enrique Allyn,M,19,182,73
2937,Charles Pfeiffer Chuck Alm,M,23,195,93
2938,Eivor Matilda Alm (-Astergren),F,27,,
2939,Ernst Alm,M,23,174,
2940,Jenny Alm,F,27,184,80
2941,Juha Henri Alm,M,28,180,78
2942,Knut Emil Willehard Alm,M,31,170,63
2943,Miguel ngel Almachi Condo,M,27,165,55
2944,Jess Antonio Almada Flix,M,21,171,67
2945,Mario Nicols Almada,M,25,173,71
2946,Oscar Almada Correa,M,20,174,68
2947,Nicols Almagro Snchez,M,22,180,84
2948,Alan Almand,M,29,193,98
2949,Jos Luis Almandoz Lekuona,M,22,172,75
2950,Alberto Almanza Gonzlez,M,20,202,82
2951,Nestor Almanza Baro,M,21,180,76
2952,Rose Mary Almanza Blanco,F,20,165,53
2953,Rubn Almanza Garca,M,24,,
2954,Jos Rubn Almanzor Martnez,M,42,180,
2955,Abel Csar Almaraz,M,22,152,54
2957,Csaba Almsi,M,26,176,68
2958,Houshmand Almasi,M,36,178,78
2959,Lenke Almsi,F,15,148,40
2960,Pter Almsi,M,21,192,88
2961,Joseph Michael Joe Almasian,M,26,183,85
2962,Zsuzsa Almssy,F,13,158,60
2963,Peter Almasy,M,27,182,84
2964,Azul Lizeth Almazn Lpez,F,18,170,53
2965,sa Annelie Charlotte Lotta Almblad (-Lindefors),F,25,170,69
2966,Joo de Almeida Filho,M,21,186,81
2967,Amarildo Almeida,M,20,182,63
2968,Augusto Almeida,M,26,172,64
2969,Brandonn Pierry Cruz de Almeida,M,19,186,73
2970,Carlos Fernandes Esteves de Almeida,M,20,182,79
2971,Carlos Domingos Bendinha de Almeida,M,23,192,92
2972,Csar Augusto Oliveira de Almeida,M,27,188,98
2973,Hugo Miguel Pereira de Almeida,M,20,192,90
2974,Joo Carlos Marques de Almeida,M,24,185,88
2975,Jlio Antonio de Sourza e Almeida,M,38,180,90
2976,Kaio Mrcio Ferreira Costa de Almeida,M,19,177,75
2977,Luiza Tavares de Almeida,F,16,168,58
2978,Nair Felipe Pires de Almeida,F,20,181,69
2979,Pedro Manuel Tavares de Almeida,M,22,176,78
2980,Teresa Patrcia Almeida,F,28,170,98
2981,Thiago Almeida,M,28,181,70
2982,Vtor Jos Freitas Almeida,M,26,170,58
2983,Arne Johan Almeland,M,23,188,86
2984,Rune Rikard Almn,M,23,188,83
2985,Eugenio Almenteros Prez,M,20,176,77
2986,Eugen Almer,M,19,176,71
2987,Aleksandr Davletovich Almetov,M,20,178,83
2988,Matas Jess Almeyda,M,22,173,70
2989,Gustav Adolf Gsta Almgren,M,29,,
2990,Johanna Maria-Therese Almgren,F,24,170,62
2991,Almighty Voice,M,,,
2992,Anna Aleksandrovna Alminova,F,23,165,50
2993,Almir Nelson de Almeida,M,28,,
2994,Maria Laura Almiro,F,26,162,50
2995,scar Ramn Almirn Giovanelli,M,21,,
2997,Sune Lison Almkvist,M,22,,
2998,Erik Albin Almlf,M,20,188,73
2999,Patricio Javier Almonacid Gonzlez,M,28,166,60
3000,Harry Hudson Almond,M,24,,
3001,Alexei Almoukov,M,19,173,73
3002,Kasper Angarius Ansgar Almquist,M,47,,
3003,Albrekt Persson Almqvist,M,27,,
3004,Anders Conrad Wilhelm Almqvist,M,26,,
3005,Aarno Aksel Arno Almqvist,M,30,,
3006,Gte Augustin Almqvist,M,30,,
3007,Ingrid Margareta Almqvist,F,20,162,57
3008,Bengt-Olov Almstedt,M,18,180,80
3010,Hans Gustav Almstrm,M,25,193,130
3011,Arvid Folke Alnevik (Andersson-),M,28,182,70
3012,Nicolas Alnoudji,M,20,180,80
3013,Lorenzo Alocn Castan,M,30,194,89
3014,Dante Aloisi,M,,,
3015,John Aloisi,M,28,184,83
3016,Ross Aloisi,M,23,178,73
3017,Alosio Pires Alves,M,25,182,74
3018,Ottorino Aloisio,M,26,,
3019,Daniel Dan Alon,M,27,175,69
3020,Nilton Silva Alono,M,27,158,52
3021,Pekka Juho Kustaa Alonen,M,23,180,69
3022,Pentti Johannes Alonen,M,22,172,65
3023,Ana Isabel Alonso Nieto,F,25,152,46
3024,ngel Alonso Nieto,M,24,,
3025,Cecilio Alonso Surez,M,26,196,96
3026,Eduardo H. Alonso,M,,,
3027,Isidoro Alberto Alonso B,M,39,,
3028,Ives Gonzlez Alonso,M,35,191,102
3029,Jessica Alonso Bernardo,F,28,172,65
3030,Jonathan Alonso Flete,M,21,175,64
3031,Jorge Alonso iguez,M,21,182,78
3032,Jos Alonso Valero,M,27,183,75
3034,Jos Mara Alonso de Areyzaga,M,30,,
3037,Luis Armando Alonso Gmez,M,24,193,85
3038,Manuel Alonso de Areyzaga,M,24,175,66
3039,Marcos Alonso Pea,M,20,178,70
3040,Marino Alonso Monje,M,30,182,71
3041,Miguel Tachin Alonso Cordero,M,20,153,52
3042,Miriam Alonso Manteca,F,22,168,52
3043,Nstor Alonso Casajuana,M,26,168,77
3044,Patricia Alonso Jimnez,F,25,170,78
3045,Jos Luis Alonso Berbegal,M,37,165,76
3046,Jos Luis Alonso Sillero,M,29,,
3047,Jos Vctor Alonzo Alonzo,M,25,169,57
3048,Kseniya Alekseyevna Alopina,F,21,165,60
3049,Kirstie Elaine Alora,F,26,173,67
3050,Kamel Al-Alouini,M,24,187,86
3051,Mohamed Alouini,M,26,183,70
3052,Mikhail Surenovich Misha Aloyan,M,23,164,52
3053,Bobby Aloysius,F,30,173,55
3054,Uzodinma Anthony Alozie,M,25,171,79
3055,Glory Alozie Oluchi,F,22,155,51
3056,Arsad Alpad,M,25,,
3058,Abdul Aziz Alpak,M,25,180,105
3059,Yaar Alpaslan,M,22,,
3060,Adolfo Alperi Plaza,M,21,192,81
3061,Luc Alphand,M,22,180,75
3062,Jose Mainor de los Angeles Minor Alpzar Campos,M,26,172,65
3063,Azza Alqasmi,F,27,159,73
3064,Sebastin Alquati,M,20,173,73
3065,Louis Jean Philippe Alquier-Bouffard,M,26,,
3066,Barbara Alred (-Collins),F,18,157,52
3067,Mustafa Alsaltialkrad,M,29,186,90
3068,Pavlos Alsanis,M,,,
3069,Thomas Alsgaard (Alsgrd-),M,22,190,82
3070,Malin Therse Alshammar,F,18,180,64
3071,Andrey Igorevich Alshan,M,28,181,78
3072,Guillermo Alsina Soto,M,22,178,76
3073,Alfrds Karls Alslbens,M,19,,
3075,Frederick John Fred Alsop,M,21,183,75
3076,Ian Clunies Alsop,M,25,170,66
3077,Ida Alstad,F,27,172,60
3078,John Kirby Alstrom,M,26,198,91
3079,Henryk Alszer,M,34,176,76
3080,Robert Alt,M,29,,
3081,Tabea Lara Alt,F,16,158,50
3082,Alexandre Altair Soares,M,20,190,87
3083,Flix Altamirano Medina,M,17,165,64
3084,Gabriel Altamirano Tames,M,18,170,65
3085,Roberto Altamirano Snchez,M,27,175,80
3086,Kamil Altan,M,28,171,69
3087,Orhan Altan,M,26,177,75
3088,Altangadasyn Sodnomdarjaa,M,24,169,69
3089,Charles Ernest Brenton Charlie Altekruse (-Banks),M,30,188,88
3090,Charles William Charlie Altemose,M,23,,
3091,Alfred Altenburger,M,24,,
3092,Roland Altenburger,M,20,189,92
3093,Lutz Altepost,M,22,193,92
3094,Jennifer Jenny Altermatt,F,19,,
3095,Anja Althaus,F,25,174,65
3096,Katharina Althaus,F,17,157,52
3097,Maria Suelen Altheman,F,23,175,110
3098,Nils Olof sten Althin,M,27,,
3099,Ingeburg Inge Althoff-Schwerzmann,F,21,180,72
3100,Valeyta Roi Althouse,F,22,175,102
3101,Josmer Volmy Jozy Altidore,M,18,185,91
3102,Fernando Nando Altimani,M,18,177,70
3103,Mehmet Altin,M,25,158,56
3104,Elif Altnkaynak,F,21,168,53
3105,Sait Altnordu,M,24,,
3106,Akn Altok,M,,,
3107,Michael Mike Altman,M,32,183,73
3108,Livia Altmann,F,19,165,64
3109,Mario Altmann,M,27,193,98
3110,Virgilius Altmann,M,23,,
3111,Erich Altosaar,M,27,187,
3112,Miguel Omar Altube,M,28,180,73
3113,Pavlo Serhiyovych Altukhov,M,20,185,90
3114,Ahmet Altun,M,26,168,57
3115,Gerardo Altuna Delgado,M,21,172,67
3116,Juan Mara Altuna Muoa,M,29,,
3117,Gabriele Altweck (-Preiler),F,21,167,58
3118,Jeannette Eleanor Altwegg (-Wirz),F,17,,
3119,Lucas Alubaha,M,25,188,87
3120,Bernard Aluchna,M,23,180,84
3121,Klement-Mile Alujevi,M,27,,
3122,Joanne Aluka,F,25,181,89
3123,Eniola Eni Aluko,F,25,157,56
3124,Dorin Alupei,M,23,204,100
3125,Jos Alustiza Garca,M,24,176,81
3126,Ilmar Aluvee,M,24,178,65
3127,Roberto Alva,M,20,170,59
3128,Alexandros Alexios Alvanos,M,24,197,88
3129,Carlos Martin Alvarado Reyes,M,21,175,70
3130,Carlos Alberto Alvarado,M,27,174,63
3131,Gonzalo Alvarado Cornejo,M,,,67
3132,Jos Amlcar Alvarado,M,15,174,64
3133,Mauricio Alvarado,M,,,
3134,Nstor Francisco Alvarado Saravia,M,,,
3135,Nicolas Noel Alvarado Lay,M,24,190,85
3136,scar Alvarado,M,,,
3137,Guido Virgilio Alvarenga Torales,M,21,171,70
3138,Reiver David Alvarenga Domnguez,M,22,160,60
3139,Alberto lvarez Muoz,M,25,191,78
3140,Amilcar lvarez Carmendia,M,,,
3141,Anita Alvarez,F,19,170,52
3142,Maria Avelina Alvarez,F,18,162,45
3143,Roberto Bobby lvarez,M,20,195,99
3144,Carlos Mario lvarez Snchez,M,19,185,74
3145,Carlos Alberto lvarez,M,23,166,66
3146,Carlos Miguel lvarez Seibanes,M,25,175,74
3147,Cristin Andrs lvarez Valenzuela,M,20,173,62
3148,Damian lvarez Arcos,M,19,175,70
3149,David Daniel lvarez Martnez,M,22,170,66
3150,Eduardo C. Eddy Alvarez,M,24,175,72
3151,Eduardo lvarez Aznar,M,32,173,67
3152,Elider lvarez Beitar,M,24,183,81
3153,Estefana lvarez Piedrahita,F,21,162,60
3154,Francisco lvarez Cutio,M,27,184,83
3155,Francisco Jos lvarez,M,,171,
3156,Jos Gabriel lvarez Saborio,M,23,,
3157,Hctor Alvarez Ayala,M,21,180,85
3158,Ignacio lvarez Prez,M,19,,
3159,Isael lvarez Bicez,M,26,188,81
3160,Ivn lvarez Gutirrez,M,22,178,69
3161,Francisco Javier lvarez del Rosario,M,21,187,81
3162,Javier lvarez Salgado,M,24,171,57
3163,Jorge Luis lvarez Galvez,M,21,198,95
3164,Jos lvarez,M,45,165,62
3165,Jos Mara lvarez de las Asturias Bohorques y Goyeneche,M,29,,
3166,Jos Rosario lvarez Garca,M,32,162,62
3167,Jos lvarez Crespo,M,23,183,78
3168,Jos Luis lvarez Alvarez,M,25,187,93
3169,Jos Luis lvarez Gil de Tejada,M,23,,
3170,Jos Marcelo lvarez Villalba,M,16,,
3171,Jos Miguel lvarez Pozo,M,22,198,97
3172,Juan Manuel lvarez lvarez,M,24,175,74
3173,Kevin Javier lvarez Hernndez,M,20,181,76
3174,Lzaro Jorge lvarez Estrada,M,21,173,60
3175,Elia Mara Lil Gonzlez-lvarez y Lpez-Chicheri (-de la Valdene),F,18,,
3176,Luis lvarez de Cervera,M,25,181,78
3177,Luis Antonio lvarez Murillo,M,21,174,90
3178,Luisa Mara lvrez Iglesias,F,29,,
3179,Jos Manuel lvarez,M,,170,
3180,Mario V. lvarez Soto,M,28,,
3181,Melquades Javier Melki lvarez Caraballo,M,19,184,80
3182,Miguel ngel lvarez Villar,M,21,,
3183,Nancy Judith lvarez,F,28,164,68
3184,Pablo Damin lvarez,M,22,180,85
3185,Pierre Alvarez Matorra,M,24,,
3186,Rafael lvarez Serrano,M,20,171,68
3187,Roberto Adolfo Alvrez Hojel,M,28,,
3188,Roger Luciano de la Trinidad Alvarez Calvo,M,27,177,73
3189,Rubn lvarez Hoyos,M,24,177,70
3190,Samuel lvarez,M,22,168,54
3191,Santiago lvarez Fourcade,M,22,188,93
3192,Sara Yaneisy lvarez Menndez,F,21,164,63
3193,Sergio lvarez Moya,M,31,174,74
3194,Sergio lvarez Aguilera,M,20,170,75
3195,Sergio lvarez Boulet,M,20,155,56
3196,Sonia lvarez,F,20,,
3197,Valeria lvarez,F,18,,
3198,Vilma lvarez Gngora,F,30,168,61
3199,Alfredo lvarez Caldern Wells,M,17,,
3200,Arturo lvarez Caldern Wells,M,16,,
3201,Miguel Alvario Garca,M,22,180,84
3202,Gilson Alvaristo,M,24,170,66
3203,lvaro Luiz Maior de Aquino,M,22,182,81
3204,Ana Beln lvaro Bascuana,F,23,168,
3205,Juan Jos Alvear Calleja,M,27,177,72
3206,Yuri Alvear Orjuela,F,22,176,70
3207,Reidar Jakob Alveberg,M,35,,
3208,Albino Alver,M,28,,
3209,Eleonora Alver,F,23,169,61
3210,Fabio Alver,M,46,181,76
3211,Giorgio Alver,M,32,180,84
3212,Isidoro Alver,M,18,,
3213,Michele Alver,M,22,,
3214,Renzo Alver,M,23,178,83
3215,Silvio Alver,M,26,,
3216,Frangiskos Frankie Alvertis,M,22,204,98
3217,Bruno Eduardo Regufe Alves,M,22,187,83
3218,Carlos Alves Jnior,M,24,,
3219,Daniel Jorge Alves,M,23,185,88
3220,Francisco Ferreira Alves,M,29,,
3221,Higor Silva Alves,M,22,183,64
3222,Jemina Augusto Alves,F,27,,
3223,Juan Jos Alves Gordon,M,29,175,72
3224,Nuno Alves,M,23,,58
3225,Paulo Loureno Martins Alves,M,26,186,74
3226,Raimundo Nonato Alves,M,25,165,57
3227,Thiago Soares Alves,M,25,194,88
3228,Basilio lvez Rodrguez,M,33,,
3229,Gyula Alvics,M,28,186,91
3230,Norman Foster Darrell Norm Alvis,M,25,188,77
3231,Alessandro Alvisi,M,33,,
3232,Alejandro Luis Alvizuri Mack,M,16,185,76
3233,Rosman Alwi,M,22,178,74
3234,Max Bruno Alwin,M,25,185,82
3235,Ahmed Fouad Aly,M,23,167,75
3236,Ahmed Kamel Aly,M,27,,
3237,Ahmed Mahmoud Aly,M,26,182,81
3238,Attia El-Sayed Aly,M,21,183,79
3239,Ihab Aly,M,22,181,80
3240,Mohamed Aly Reda,M,29,190,91
3241,Mohamed Aly,M,,,
3242,Mohamed Ahmed Adel Aly,M,,,
3243,Nariman Aly,F,17,169,55
3244,Ramadan Aly,M,23,150,52
3245,Anatoly Nikolayevich Alyabyev,M,28,,
3246,Anna Romzatovna Alyabyeva,F,18,174,
3247,Romanos Iasonas Alyfantis,M,18,183,73
3248,Nikolay Aleksandrovich Alyokhin,M,25,,
3249,Maksim Nikolayevich Alyoshin,M,21,166,63
3250,Yevgeny Yuryevich Alyoshin,M,25,182,75
3251,Ivan Vladimirovich Alypov,M,23,169,60
3252,Murat Alyz,M,,,
3253,Hernn Alzamora Garca,M,21,183,70
3254,Miguel Alzamora Riera,M,26,184,78
3255,Carlos Eduardo Alzate Escobar,M,25,180,70
3256,Charles Alzieu,M,23,,
3257,Joseph Jos Alzin,M,26,,146
3258,Ccile Alzina,F,24,160,50
3259,John C. Amabile Jr.,M,29,188,98
3260,Ren Amabuyok,M,,,
3261,Mactabene Amachree,F,26,190,78
3262,Amadeo Labarta Rey,M,23,,
3263,Ferdinand Amadi,M,21,170,60
3264,Roberto Amadio,M,21,188,78
3265,Anthony Stanley Amado,M,25,160,57
3266,Carlos Amado Kohli,M,,,
3267,Isabella del Carmen Amado Medrano,F,19,155,59
3269,Andrs Amador Velsco,M,43,175,72
3270,Andrey Amador Bikkazakova,M,25,183,73
3271,Darisleydis Amador Rodrguez,F,24,,
3272,Mamood Amadu,M,19,,
3273,Domingo Amaizn Mastroianni,M,32,174,60
3274,Wilson William Amakye,M,25,178,61
3275,Eric Amalou,M,27,187,88
3276,Ampol Amaluktipituk,M,34,171,63
3277,Charles Aman,M,16,,
3278,Hassan Nour-el-Din Aman,M,37,178,81
3279,Junaidah Aman,F,17,162,42
3280,Mohammed Aman Geleto,M,18,165,58
3281,Simona Amnar (-Tabr),F,16,158,44
3282,Rasoul Amani,M,35,168,63
3283,Mohamed Amanissi,M,27,,107
3284,Alex Amankwah,M,24,,
3285,Frank Amankwah,M,20,,
3286,Helen Amankwah,F,28,,
3287,Akgul Charievna Amanmuradova,F,24,190,85
3288,Else Amann,F,32,,
3289,Max Amann,M,23,,
3290,Richard Rick Amann,M,31,183,85
3291,Misa Amano,F,17,161,53
3292,Shin Amano,M,24,174,62
3293,Yoshihiro Amano,M,21,168,62
3294,Marielle Amant,F,26,190,84
3295,Ingrda Amantova,F,19,170,69
3296,Baptiste Amar,M,22,183,85
3297,Khayri Amar,M,24,170,70
3298,Larry J. Amar,M,24,175,79
3299,Mourad Sedegh Amara,M,21,,
3300,Prince Amara,M,19,180,70
3301,Alexandre Amaral da Silva Mariano,M,23,170,67
3302,Aguida Fatima Amaral,F,28,148,43
3303,Cleide Amaral,F,29,165,68
3304,Elsa Maria Meireles Amaral,F,26,168,59
3305,Maria Nelly Amaral,F,50,159,54
3306,Rosa Amaral,F,24,175,76
3307,Antnio Dcio Amaral Filho,M,15,,
3308,Catello Amarante,M,21,177,73
3309,Daniel Amardeilh,M,25,187,71
3310,Hailemariyam Amare Tegen,M,19,175,64
3311,Carmen Andreea Amariei (-Lingu),F,29,184,79
3312,Gheorghe Amariei,M,23,186,125
3313,Martn Amarillas,M,22,186,75
3314,Yadinis Amars Rocha,F,28,162,57
3315,Miguel Amarista Varga,M,29,173,63
3316,Nauraj Singh Randhawa Amarjit Singh,M,24,193,70
3317,Prince Amartey,M,24,177,75
3318,Francisco Amat Fontanals,M,21,182,73
3319,Jaime Santiago Amat Durn,M,22,168,73
3320,Jaime Amat Fontanals,M,23,170,64
3321,Jean-Pierre Bernard Andr Amat,M,22,175,74
3322,Juan Amat Fontanals,M,22,193,80
3323,Pedro Amat Fontanals,M,20,183,67
3324,Pablo Pol Amat Escud,M,18,183,78
3326,Eyawomano Doreen Amata,F,20,191,63
3327,Antonio Amato,M,22,,
3328,Elena Amato,F,16,165,50
3330,Amauri Ribeiro,M,21,198,87
3331,Amaury Antnio Pasos,M,20,190,90
3332,Jos Emilio Amavisca Grate,M,21,182,68
3333,Angel Amaya,M,18,,
3334,Dolores Amaya,F,16,,
3335,Ivn Amaya Carazo,M,22,188,85
3336,Jorge Horacio Amaya Young,M,34,178,76
3337,Lorenzo Amaya Toledo,M,27,,
3338,Roberto Oscar Amaya,M,20,182,64
3339,Henri Amazouze,M,23,177,72
